Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2016.A5.023.16C,Promotion of Volunteerism among Hong Kong Retirees: An Intervention Study,Prof CHOU Kee Lee,The Education University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A5.023.16C_Final Report_Prof Chou.pdf,2016-17 (Third Round),18,712307,Livelihood Issues,
2016.A6.071.16C,An Empirical Study of the Town Planning Board's Planning Control Decisions on Residential Development Applicants since Hong Kong's Handover to China,"Prof HUI Chi Man, Eddie",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016_A6_071_16C_Final Report_Prof Hui.pdf,2016-17 (Third Round),15,369909,Land and Housing,
2016.A7.011.16C,Energy Behavior Patterns in Hong Kong: The Role of Bounded Rationality and Peer Pressure in Air Conditioner Use,"Prof FUNG Chi Hung,
Jimmy",The Hong Kong University of Science and Technology,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016_A7_011_16C_Final Report_Prof Fung.pdf,2016-17 (Third Round),14,568445,Others,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A7.011.16C.zip
2016.A1.038.16D,Developing Appropriate Typical Weather Data for Applications in Building Related Codes of Practices and Design Guidelines in Hong Kong,"Dr CHAN Lok Shun, Apple",City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016_A1_038_16D_Final Report_Dr Chan.pdf,2016-17 (Fourth Round),12,314928,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A1.038.16D.zip
2016.A1.045.16D,The Development of a New Media Expertise in the Creative Economy of Hong Kong,Dr Damien CHARRIERAS,City University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A1.045.16D_Final Report_Dr Charrieras.pdf,2016-17 (Fourth Round),15,550620,Economic Development,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A1.045.16D.zip
2016.A3.008.16D,Deriving Public Policy for Hong Kong as an Infrastructure Financing Hub and Super-connector in Project Finance: The Belt and Road Initiative,"Dr POON Pui Han, Winnie",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A3.008.16D_Final Report_Dr Poon.pdf,2016-17 (Fourth Round),21,691783,Economic Development,
2016.A4.029.16D,Knowledge and Perceptions towards Gender-Based Violence of Minority Girls in Hong Kong,"Prof Raees
Begum BAIG",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A4.029.16D_Final Report_Prof Baig.pdf,2016-17 (Fourth Round),6,200000,Livelihood Issues,
2016.A8.049.16D,The Experience of Stigma in Patients with Mental Disorders: Are There Improvements in the Past 15 Years?,Dr CHUNG Ka Fai,The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A8.049.16D_Final Report_Dr Chung.pdf,2016-17 (Fourth Round),15,346293,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A8.049.16D.zip
2016.A8.051.16D,A Survey Experiment on Discontent Among the Youth: Welfare or Politics?,"Dr WONG Yee Hang,
Mathew",The University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A8.051.16D_Final Report_Dr Wong.pdf,2016-17 (Fourth Round),12,220368,"Political Development and Governance, Youth Development",https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A8.051.16D.zip
2016.A2.014.17A,Investigating Hong Kong Students' Critical News Literacy in the Age of Social Media,"Dr KU Yee Lai, Kelly",Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A2.014.17A_Final Report_Dr Ku.pdf,2017-18 (First Round),12,492982,Application of Innovation and Technology,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2016.A2.014.17A.zip
2016.A2.016.17A,"Differential In-migration, Housing Access and Spatial Segregation: Hong Kong since 1997",Prof LI Si Ming,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A2.016.17A_Final Report_Prof Li.pdf,2017-18 (First Round),21,825125,"Land and Housing, Livelihood Issues",
2016.A3.009.17A,Construction of Mainland China - Hong Kong Economic Integration Index and Its Application to Facilitate Public Policy Research in Hong Kong,Prof CUI Geng,Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A3.009.17A_Final Report_Prof Cui.pdf,2017-18 (First Round),12,494960,Economic Development,
2016.A4.032.17A,Maintaining Hong Kong Aviation-hub Position Under the ASEAN - China Air Transport Agreement (ATA),"Dr YUEN Chi Lok, Andrew",The Chinese University of Hong Kong,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2016.A4.032.17A_Final Report_Dr Yuen.pdf,2017-18 (First Round),21,481491,Economic Development,
